u b v r i+ z++ vista_y vista_j vista_h vista_k irac_1 irac_2 Z_SIM
24.30607 23.87092 22.88721 22.51688 22.18595 21.97431 21.86216 21.67775 21.5717 21.43876 22.1772 22.49584 0.31271
24.23627 23.50362 22.34439 21.77999 21.28143 20.99582 20.83398 20.51248 20.30923 20.10467 20.87615 21.10518 0.30792
22.15854 21.65275 20.56262 20.15651 19.75381 19.50005 19.34847 19.03847 18.85025 18.65311 19.42672 19.65519 0.28976
23.41321 22.96784 21.94724 21.59766 21.23755 20.99926 20.86336 20.59581 20.452 20.27992 21.05097 21.33102 0.26973
22.139 21.50799 20.27145 19.802 19.32075 19.01468 18.85051 18.48665 18.30399 18.09859 18.91311 19.12804 0.25842
25.0387 24.35026 23.30106 22.97315 22.63146 22.40754 22.30959 22.16679 22.0906 22.03743 22.83201 23.18955 0.23822
21.8824 21.12589 19.75222 19.28575 18.77315 18.44 18.26233 17.8581 17.66867 17.45878 18.26968 18.45556 0.231
23.29391 22.86677 22.17922 22.01995 21.81372 21.65704 21.56721 21.42062 21.34984 21.29866 22.09196 22.43619 0.20435
23.76223 22.90492 21.85058 21.49826 21.11263 20.78796 20.63927 20.48662 20.36296 20.38295 21.16732 21.56502 0.12471
25.50715 25.32493 25.16616 25.19672 25.0701 24.75835 24.62339 23.76 23.41191 23.19835 22.93742 22.84986 1.99971
25.59343 25.44922 25.38446 25.41209 25.39643 25.25613 25.19371 24.4455 24.33209 24.2746 24.22026 24.21118 1.99686
24.92259 24.75657 24.62661 24.69716 24.5675 24.3512 24.26455 23.51236 23.28293 23.1341 22.93619 22.87323 1.99512
26.24456 26.06026 25.96119 26.00734 25.91387 25.71596 25.62645 24.8392 24.64551 24.52584 24.38814 24.34547 1.99328
26.27611 26.04272 25.89208 25.95152 25.80748 25.54204 25.43083 24.5977 24.34637 24.19559 24.0313 23.97832 1.98974
25.43797 25.15386 24.90455 24.96181 24.70228 24.2801 24.10973 23.16409 22.78433 22.55012 22.26135 22.16303 1.98732
26.36438 26.29161 26.25514 26.27151 26.28479 26.12646 26.04387 25.2412 25.01639 24.88132 24.73988 24.69418 1.9845
24.36234 24.14296 23.98357 24.01346 23.88043 23.58668 23.46792 22.62347 22.33527 22.15007 21.91833 21.83875 1.98226
